N            Matrícula      Nombre          Ap. Paterno     Ap. Materno     Edad            Sexo           
86           315105          Sofia           Hernández      Díaz           9               MUJER           
87           306687          Isabel          Torres          Paredes         3               MUJER           
88           325893          Miguel          Ramirez         Rodriguez       32              HOMBRE          
89           318071          Rafael          Suarez          Rodriguez       27              HOMBRE          
90           323268          Andres          Gonzalez        Valencia        14              HOMBRE          
91           317128          Digna           Rodriguez       Martinez        11              MUJER           
92           331506          Marciana        Perez           Molina          29              MUJER           
93           317506          Diego           Díaz           Estrvez         78              HOMBRE          
94           317347          Laura           Romero          Fernandez       80              MUJER           
95           329040          Francisco       Gonzalez        Guerrero        87              HOMBRE          
96           321848          Verónica       Morales         Rodriguez       93              MUJER           
97           311976          Paola           Perez           Núñez         19              MUJER           
98           321702          Jose            Vargas          Martinez        55              HOMBRE          
99           310710          Verónica       Valencia        Núñez         50              MUJER           
100          314632          Sofia           Estrvez         Paredes         32              MUJER           
